0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,cat
0,0,0,1325,12,6,3685,3437,1325,1145,31,374,3,1695,567,2,586,8802,4,949,1,5027,249,9869,6,3250,1201,1325,46,1447,43,31,148,4077,522,64,15,586,781,6,65,145,7,2435,249,585,129,1,3721,230,1201,256,209,138,159,15,71,5633,3721,2270,833,46,1140,43,31,135,61,137,1201,3023,2225,22,1025,7,138,210,159,138,256,138,3127,1548,1201,3127,14,256,209,138,106,22,9870,1,6980,3721,46,143,1,1382,66,83,434,71,1679,1025,7,5855,3591,2,31,63,2402,243,3,1,41,17,5,210,138,138,159,138,210,3190,61,1865,4074,1668,1830,7,9870,586,664,1201,256,209,138,106,6,5,1055,3,208,887,21,1,5027,249,9870,143,31,79,4077,522,6,66,83,434,104,143,1,1279,4,3019,1188,6,1881,9870,23,406,5855,6,1,2402,1833,53,1,2972,1865,1201,3,655,210,138,138,159,138,210,3721,2270,833,1145,31,374,138,210,159,138,256,138,3
6692,4,4092,2,1,263,1113,30,13,21,5,188,6859,6,1,1287,5655,7,1938,1,9,1897,2,1,6131,24,33,4877,10,29,297,1,175,109,3,1,167,3,3505,1551,22,1,68,400,15,13,1,197,6239,44,6378,9985,1781,9985,5945,197,9985,9985,5655,4,4335,1,1820,66,27,6912,66,27,315,50,27,7285,4,50,27,6320,297,61,1,382,2794,841,310,56,1590,38,2006,15,13,584,1176,4,400,2561,20,39,1288,10,1448,318,93,19,5655,1727,2105,4,58,1189,1128,3,541,480,1,3505,44,2627,6,1,9143,175,22,347,676,11,9,5126,19,98,19,546,101,4975,786,58,1189,38,541,4,30,13,15,183,40,242,2,1032,1,8521,3,5,49,293,37,308,5655,7,6692,1412,386,498,2,921,461,856,1,1628,204,4,857,566,768,6064,287,498,2,1,49,120,8,4,4975,746,19,112,19,5,1013,739,3,70,1765,5,5655,74,188,6859,9,183,12,556,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6110,2777,22,5157,567,696,7912,633,4514,6110,14,413,3,8,213,7,1139,5157,19,1,1138,1764,2,2164,6,1566,171,23,16,6,279,12,538,6,1,2853,4382,4,223,2197,459,3,1,179,1435,1438,306,34,234,6,1103,5157,1787,230,469,1,5893,6,1222,4,6110,13,26,1660,52,100,75,7,5,248,3829,75,898,95,127,322,6,1,363,4,14,2202,274,112,6110,702,1607,322,363,567,12,483,6,9544,7,4732,485,444,1,4476,4382,1,223,2197,4,1,4063,5157,18,45,6555,2498,17,5,47,160,2197,494,85,6,2685,21,1,2117,2780,584,179,2367,4,9223,1438,4,5,148,238,6,1,223,2197,469,987,3
2662,3806,210,3,6325,104,1,1785,4,389,25,6,1,1319,3,49,876,3317,182,1287,930,42,1298,194,1,74,7,3,532,1147,6,1,3314,3,1,1656,1136,1013,1938,2344,35,347,1485,7,351,3525,347,1485,7,214,9,183,2,1563,22,210,209,34,41,324,902,435,3,32,2431,1406,214,347,1485,7,195,839,18,6986,1672,6,1,65,1575,56,77,218,71,87,43,5799,648,3,1,214,4,479,390,4,1191,1979,20,367,1430,376,6,1,7895,3,1,1311,351,2344,1,74,3235,1,204,3,479,932,986,3194,451,1140,2795,833,1,175,7,325,932,833,3256,18,39,1914,2,1345,1053,8,201,8,2806,24,358,388,347,1485,7,351,218,255,9,136,6,42,9675,1086,2572,3,4340,8,47,746,777,3483,1685,1,857,2,743,854,22,1,3980,3,40,3034,1979,746,149,1651,6325,18,39,27,5,5506,283,73,5,1191,283,2205,12,1772,3139,35,770,43,1571,3,42,2819,0
1,639,24,33,170,11,14,456,2594,27,1,1463,15,189,28,2825,912,5393,692,1072,13,11,7,5,4602,109,26,435,51,14,127,1127,8695,6,1,1463,51,7,215,4337,165,1,66,1713,4,11,9,5,4602,60,10,7,1257,27,180,26,14,2659,26,755,69,176,113,1513,208,9851,307,3181,2632,45,37,5,6725,6497,2594,21,131,104,2072,3518,14,17,19,15,14,3760,2,117,5,1061,3518,7,1384,1309,14,2734,2,1,8898,3,1,9851,505,46,20,136,28,131,8,2055,1237,1,1643,23,1539,628,27,1,1713,4,1,392,4,23,1930,276,601,4,1,1186,7,247,392,6,3299,4248,17,912,5393,505,6,1,2879,809,4,21,544,50,5627,2556,1982,505,25,45,435,2,20,6348,895,1,1399,53,1,96,428,4093,13,51,37,39,493,5665,8,1778,168,657,1087,4,4102,5705,3448,1,1643,9,199,371,73,1,1513,21,483,7,8789,3291,312,1322,165,4899,4,838,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,3439,426,156,60,1177,68,327,1726,901,7573,224,5432,2253,122,3712,590,103,16,4336,3,57,100,3439,60,296,1177,3,353,1988,6670,3765,1878,3,3593,7080,448,1,461,4325,2544,166,1087,2,5239,100,467,60,75,9,296,1177,75,103,16,4336,3,57,100,3439,4,1988,8,66,83,13,2253,636,60,51,14,5,19,2,78,3439,58,16,458,2253,13,10,9,28,32,488,21,57,187,174,227,696,728,8556,734,2297,55,79,16,4336,3,38,3439,60,2817,539,91,83,3,1,574,590,46,143,169,3439,21,1,813,1806,3345,364,1087,4,122,75,23,117,383,279,61,1878,7,1755,3593,7080,9,1,133,21,1,518,3,5,1013,2419,1329,73,1726,6,1,49,2253,1145,60,75,18,2417,458,1087,11,9,146,2,16,5,215,3831,8,5,349,3,48,3
1,4361,1461,91,148,190,1426,6,5,8650,2110,5092,22,1882,7,338,4093,709,15,118,2208,55,158,57,61,1,2394,4,15,8861,339,161,3,1,96,26,20,13,2,131,98,379,10,15,18,1,2570,109,15,18,1675,4,9,95,376,2,49,26,1045,10,1,1540,165,1,1334,14,274,126,1172,26,799,2319,82,523,26,164,2,150,2319,62,2,1,1172,29,44,8155,2,220,49,2708,34,536,1882,883,15,435,29,44,146,54,3,1,887,555,53,9384,106,377,21,190,67,15,13,26,577,16,4110,60,26,435,33,44,146,163,64,33,44,1261,21,190,67,33,37,5,4800,2,6416,24,33,20,5738,11,4,932,2,916,10,14,50,3,1,85,1426,26,20,1461,26,2817,11,4598,26,1859,69,2817,50,102,10,8,5713,11,14,5,1397,750,8,206,4,1,232,838,7,135,535,57,185,3,130,7,887,555,3461,20,1078,1,8329,3543,8,1,63,67,3
747,2383,7442,474,17,101,1478,747,2383,3052,2,42,721,6,837,244,596,46,747,657,1690,2408,4,1,190,4199,1470,1345,2659,6,223,9663,21,12,1,231,3,1,559,7,721,111,1277,1,720,10,1,559,18,199,254,105,50,6,126,2473,569,1632,658,729,132,5695,4121,596,25,52,1,1865,1690,2408,13,3080,7,2900,1690,2408,4,1,190,4199,1470,874,43,1,1047,3,1690,2408,7,1865,41,21,873,3,4,19,415,4690,1904,8442,18,199,844,10,1,190,4199,1470,9,2699,1690,2898,4,75,118,10,1,760,3212,3,1,559,37,39,9356,6,100,1303,8,766,83,8442,13,75,37,2572,3,67,104,9183,2,17,1,2,140,7187,4,26,472,19,843,19,26,20,474,39,17,1,167,536,75,45,1070,844,10,5,1956,23,16,1912,6,1,1865,559,24,75,18,308,84,6571,19,2,46,11,495,16,411,3882,3,1,1865,559,86,50,1735,992,2,2109,1,419,1
3653,6799,337,9,9384,469,3623,102,835,4,2633,35,199,300,218,35,87,11,1018,8,48,2,108,43,484,4398,1248,623,8,484,5763,20,367,5,643,119,8,48,2,1108,52,38,984,4,3113,3925,298,3653,6799,9,386,2,1210,17,5,56,3653,7513,1014,48,23,16,302,2,1784,5,6542,8,1,2243,5444,1030,4,462,3502,3394,4,110,1,195,23,16,3245,22,5610,34,9,5,1423,1658,8,48,2,3113,650,13,3653,7,4124,34,9,337,7,63,8438,73,3763,35,18,458,129,19,5,484,4184,6,1,429,41,3623,102,835,199,300,386,218,163,42,3359,591,104,2633,2639,42,540,17,4398,3563,309,8,1,105,3,1248,6,3981,25,341,2,222,22,226,2,1568,2992,133,7514,1,77,259,6668,18,3845,339,169,4,5,190,201,8,1,65,549,201,11,71,2204,10,1,105,3,1248,6,3981,18,5759,210,482,155,324,76,5607,10,373,59,5,455,25,2544,3786,4
5734,46,9,421,1255,6,50,7230,61,1,7,6,193,7,912,167,14,6179,22,3,2258,2258,22,1,474,4926,1463,5333,4032,46,1676,1,85,651,396,13,89,12,1,1217,3824,14,32,2621,161,3,31,550,11,9,454,4,64,11,9,2139,11,9,2139,15,13,781,2201,960,689,1,1023,330,12,2,135,85,81,13,89,3528,6,1,72,1247,5,349,2,131,15,13,26,472,5,248,3,173,1704,149,1,4,43,391,71,29,305,206,5,47,1161,64,26,176,1,85,508,54,3,130,4,339,66,56,91,83,9,5,773,47,5230,3,885,4,561,81,1616,4,178,1,1966,2196,25,303,127,375,2,3173,206,6,34,119,9,5,248,1744,173,417,2080,2138,46,18,143,5,1064,2315,4,5,2146,8,31,1670,368,6,1799,13,11,1247,5,349,2,16,21,1,998,15,13,86,2,16,497,274,21,1,5670,1,3265,284,9,11,9,5,5328,3,173,375,1
22,6656,4,193,236,4447,12,483,3227,551,13,6,5,496,1,1631,1090,11,14,6,1162,85,381,2,3767,1,300,15,13,3227,36,4407,854,1941,2223,1647,22,5,6569,3,68,1967,1829,4,3227,224,357,1213,820,1,4447,300,14,1313,21,1941,854,8,4447,7,1162,4,14,28,89,92,8,1,1490,3,3227,7,1162,3000,5501,13,42,8039,3,3227,14,236,12,1044,881,439,8,3260,4,59,405,120,917,113,1033,573,4462,519,4064,36,79,1401,126,2602,30,13,6,244,4447,8179,819,7,780,3260,6953,4090,3227,2298,9,1,68,7,230,780,1199,3,5962,4,45,5,6953,3,3260,4,11,2662,1,696,3221,6049,6,347,819,35,3043,52,50,230,3,1,68,7,511,2298,4,9,45,1,68,7,664,780,3260,6049,4447,9,5,529,4471,722,17,1411,6,819,347,676,1025,823,1830,4,1,72,42,2141,746,25,3260,3886,3886,4,11,45,18,619,993,6,1036,395,4,2666,0
25,146,2,176,40,8489,3,2841,1774,2140,2854,11,1623,1337,10,33,23,167,43,1344,6,5,5776,180,339,669,9,5,3359,24,1,405,105,3,1248,9,294,2,502,12,619,6,5,484,199,17,275,1568,2992,133,7514,2204,1,105,3,1248,6,3981,1,77,259,6668,18,199,5759,169,155,4,9,619,21,917,1870,93,19,835,7,3359,4,1,618,749,6205,580,3,3653,6799,25,303,11,1718,2,374,5,1568,49,342,170,5925,5388,286,461,272,122,5,1568,9,920,339,209,482,1472,324,373,59,648,3,1,597,25,5545,21,544,480,339,66,201,24,1235,2032,10,1,4184,1842,2340,2,2811,462,2104,878,275,1403,12,405,560,1126,1030,56,276,12,1,484,1810,9,497,2,913,33,25,2955,50,2855,6,35,1,4542,2770,9,1941,5,438,5757,8,132,33,1730,126,2854,4,132,33,3970,17,425,70,13,30,8724,4,51,7,146,2,16,986,10,662,17,1,127,4
8417,52,11,2964,12,4043,8583,9,183,2,2053,480,999,18,1787,153,12,1,2654,3,5,2159,2,1,9841,3,1255,590,4,5279,1434,5878,4,352,1152,2001,1242,1,81,2,16,477,6,791,1,6659,23,480,366,16,1681,22,4,1059,46,20,171,818,12,66,616,1724,1284,9839,7,559,585,1,3980,3,1724,80,5,705,6848,6,5,96,3,5120,5,1206,12,1,1838,2,117,31,2061,129,1,96,1,1735,9,50,3,9839,7,114,5015,4,2854,17,2171,5,7605,1864,27,31,5777,6,2672,2,1,8047,81,11,14,45,3811,8,661,6,17,417,3949,6747,19,32,3880,1724,8385,1791,551,1801,13,781,999,9,32,5695,2621,81,1107,7041,14,5,2709,689,4,787,1,1724,6850,33,257,7312,2,20,131,99,2,1533,1,6040,1724,47,978,1429,999,1095,2,1,72,6,4,2017,184,419,93,19,1,5847,4,31,81,4291,473,2461,3,1442,4,1333,2088,35,3128,4,2080,2138,1
52,2760,1,4047,117,1033,2,4,943,452,5,773,963,2755,2,1399,533,27,1,137,3,1,8729,5379,1,460,47,957,3938,6,1,68,7,2200,473,5,667,389,250,35,1,667,1486,5,700,22,364,4,5371,4990,8255,32,4103,389,250,35,1717,2,2934,1,3388,40,4,2591,1,2291,3,1933,2,1625,1,5280,1402,22,589,1,4047,21,5,160,825,1486,5,5167,1,3,126,19,68,216,4951,22,1,8585,68,1260,9,5,248,1744,8,49,13,323,3,6529,4880,4,1110,967,35,4176,1,4047,1,63,216,8,1,68,7,2200,14,1256,6,1,63,5185,3,1,8585,559,3,1260,6,19,93,11,9,32,2467,9646,3,132,177,18,3591,6,1,546,83,149,10,63,5185,64,1,216,14,795,963,56,627,138,2760,373,59,190,1,825,3,1,47,216,13,5777,3193,7504,21,1,8585,68,1260,9625,7,8729,6544,5379,9,40,59,7405,59,1,6,6320,4976,1,68,7,4
7,1667,6256,23,16,6485,22,1,1060,12,483,310,443,39,1362,22,617,1,1017,9,1337,2,536,6,5,564,962,53,1,884,1017,1243,123,350,449,2434,13,1,311,37,39,1613,95,2623,2108,43,4,10,1,74,14,602,2,2512,11,163,221,1371,15,13,11,36,16,626,2,3416,1,74,4,87,1,293,22,11,6,1,1060,1,4340,8,9760,3,1500,9,3197,15,90,115,188,520,2747,8,1,637,1042,13,575,750,7,564,702,1,74,37,340,1,982,3,57,1334,3,1,360,15,13,29,245,2,5951,1,311,4,2957,1,399,3,5,1392,2,1374,12,57,389,1273,1101,5651,12,601,4,743,822,80,1846,1800,51,9,5,437,2529,34,311,9,2,3157,115,188,453,1509,1213,5232,13,26,170,10,34,9,5,311,6,2705,1513,11,7,39,6,1,360,3,884,11,116,403,1,74,681,1,47,311,2,1475,73,293,22,758,513,64,1,405,1169,8589,2
41,200,26,365,1454,112,4,11,14,2139,2,94,163,6,1278,2401,33,44,2,677,26,5272,531,13,5290,2,100,344,17,5437,11,23,16,5,543,344,8,100,6,819,26,55,1730,75,7,1022,95,2946,22,10,77,26,245,2,94,54,51,4,158,112,586,6994,7,6975,5435,6,5,344,4295,280,163,256,209,209,256,138,210,1096,1,2325,705,1206,2,949,1,65,769,6,2816,1,344,7373,452,91,888,4,3123,766,195,3852,237,91,6,1,243,108,64,4295,361,100,4939,2,5518,1,135,75,71,1352,53,1,1936,6738,1201,586,461,5360,256,138,138,159,604,249,633,670,5,386,7305,73,1,65,769,53,5897,5451,14,950,2,3164,5451,1,6041,4074,461,14,1143,54,53,7225,5,297,9267,6,1,3019,4771,1,230,1201,71,1679,258,7,46,586,3,655,138,159,138,159,26,219,1682,2076,109,26,2628,69,20,636,2,158,266,6,140,63,66,1216,5451,13,3
3,160,825,3997,4690,979,23,245,2,5708,3422,4,5239,38,501,2,3532,38,1339,4,2308,47,2196,1,597,105,3,3353,298,711,22,336,2,569,155,61,1,429,41,1,247,702,17,1,325,346,6,258,655,213,4,823,1,1134,2,4807,484,2741,21,160,825,877,1187,93,19,110,56,375,4,158,298,152,9,2025,78,48,88,6,38,5846,67,5,1348,22,358,2779,342,951,10,432,14,2901,661,4808,3687,6,1768,17,432,648,13,29,44,390,373,67,1789,184,1,1349,2,184,14,2074,6,287,180,432,14,12,1,43,6,1220,1,72,258,4,1025,13,1,247,11,13,184,242,1620,5,437,223,573,1349,61,1,111,169,83,17,432,937,2,1563,27,859,2,2833,3,3037,22,4649,41,12,41,33,25,1420,2,176,5,9655,3413,6,180,64,4,132,240,7,1758,7035,295,8,275,4,845,4,34,18,215,4006,8,184,790,4,299,13,2779,342,989,4117,4
657,3,2455,4,5420,50,3,258,7,1296,3881,2216,699,1072,670,31,6,1197,12,556,27,604,1640,162,1040,62,20,1,7724,3,81,17,32,5849,1675,30,1040,13,19,15,1676,1,396,2518,2519,604,375,326,959,35,920,1781,1704,1505,11,79,19,5,4462,15,90,1,162,26,472,3528,2,16,6352,22,258,1,6957,4267,3,1704,1572,1,68,699,1072,7,375,473,671,444,3112,2387,6958,3113,4,1,4757,5,8756,772,3,1,211,7,5049,3,248,213,15,9,5,208,551,3,1,72,81,476,4,12,1,736,3,1,173,81,1886,163,343,153,4,343,4758,62,20,840,49,132,1,2700,32,2327,238,6,126,5850,1252,30,1040,13,163,343,5421,35,62,142,49,163,1,2056,10,62,62,1166,1,68,163,1,4759,3,343,153,15,45,5422,1,211,7,244,81,1,272,3,449,6,35,2157,4760,365,5,356,12,945,1005,19,3696,3,31,5851,2263,80,1,945,3006,1
1,857,4,178,64,15,6567,99,4,330,128,174,4289,7,1008,1186,8670,14,28,1158,3482,672,1,519,64,15,768,119,12,3393,465,2,46,1618,53,197,545,54,17,5,2326,475,24,11,481,3229,4,2071,3355,27,6290,2,12,2,1387,7656,7,744,19,1683,8,3219,44,619,6,982,4,2249,3247,3991,37,2,809,31,1399,2,586,321,5,1400,744,27,7572,634,44,1914,2,441,38,6991,24,262,1,395,163,1,1337,1497,3,999,1,130,2548,481,420,8387,19,4233,1535,129,2,568,4,5,744,429,6290,634,495,20,8882,38,395,66,465,306,64,8671,7979,31,2,4876,5,2989,1013,27,1683,7,386,1309,3991,330,413,4636,2,6585,7572,7,223,739,744,104,6290,321,5287,5735,9969,7,744,6290,7571,1040,8536,1205,2185,317,3209,5275,7572,3482,3393,2785,28,166,8535,9783,3991,6053,999,2632,5917,8671,4289,1387,7656,9969,4389,1683,2785,28,166,4165,2632,999,1942,338,2760,8670,7,4472,3
359,381,557,403,4,1,4997,214,9,1842,982,2,1,309,410,332,345,27,1,74,4,70,2744,35,57,445,2,5,2119,6,1,1759,120,12,575,1,476,3,1772,5245,173,6618,828,4,1110,6178,828,57,13,1772,3139,14,3819,1,309,44,1256,19,260,853,22,1431,468,9449,13,1,881,2242,519,3,5,123,718,22,40,59,27,6,530,2,6,382,241,1,72,1,3120,4,347,585,1,325,519,2612,104,193,439,718,24,21,373,59,1,304,486,6,428,180,439,20,1773,12,32,4587,5187,1684,44,40,5359,118,24,1,188,603,2,3725,982,10,192,23,2107,6,285,17,21,38,114,2150,6,5,41,19,47,2274,270,1777,21,1044,917,192,2066,1828,43,6,1,47,41,4,26,472,1192,34,41,23,16,84,7333,30,4498,118,371,459,1,182,9,5,4794,265,2,203,17,1,120,3231,43,6,1,148,190,4452,5,159,346,6,439,61,1,508,336,201,0
2336,3266,474,91,83,434,1807,7424,1,510,7,68,216,6,66,888,549,465,582,1472,1,307,1618,2,193,336,201,306,100,2920,762,68,216,3,125,701,549,35,75,108,6,2995,6,656,244,22,50,963,2577,1807,7,562,262,5,6085,64,75,603,2,2109,1,696,1913,4,306,1183,54,3,1,1222,172,2424,65,1135,24,1,1652,41,200,7938,99,2,135,1,47,608,1913,6,530,1807,187,1598,43,1,430,2,156,8,1,215,731,1913,792,1276,17,1031,6,2995,193,4,47,608,79,1,3380,1913,992,2,16,24,10,874,238,5,231,53,193,3380,9,2423,5,762,26,164,2,88,21,76,445,24,193,9,95,808,2,206,13,1807,26,239,69,1828,4200,2054,52,528,102,667,26,1828,1,2196,6,140,1624,26,274,164,2,88,26,861,1,2808,4998,4,968,4,277,11,23,454,16,5,248,997,762,11,9,45,1,6041,2789,34,41,35,2609,2,1,4078,3
2403,187,9,5,5091,1021,315,7,4621,6,593,262,582,83,4,706,17,832,4,3509,6238,20,39,353,238,8,172,83,2536,3,1,236,2668,2605,3586,5,175,7,1765,7024,2767,1982,6,1,856,3,70,772,1113,5,595,35,18,316,11,367,2191,2306,17,5773,588,7,400,162,8579,3504,2508,1,271,6784,11,19,985,19,530,7,281,22,1,1197,269,3,7661,318,2,2096,129,1560,3,1,175,7,2290,4728,7,2,1,263,318,6,13,9920,36,5162,2,2882,3846,4,529,335,51,25,71,1204,287,1674,2536,3,1,2668,8121,540,245,2,2135,73,2069,17,829,1142,287,4,431,1226,1051,2,896,82,6,284,17,2668,3165,97,1,1021,1536,174,119,57,2668,540,426,305,38,1989,2,287,1,49,13,11,58,28,5751,2636,7,2988,109,11,9,421,6909,2613,24,532,318,1207,1,1341,4,179,584,8002,2,1,2668,7827,6301,13,2636,7,2988,426,16,2844,7028,3,453,560,0
8561,7129,919,4,9396,40,59,1560,3,42,192,895,1,72,6917,13,11,14,1192,11,36,254,42,1699,8,203,104,1,3683,1283,1746,992,1545,33,25,1192,10,33,20,1,1600,2701,4,48,2,1481,539,126,612,9680,6,203,13,224,357,8653,1,3873,1073,346,37,39,183,22,358,53,1,139,13,6,382,10,1,952,715,2773,37,254,4003,2990,192,6,240,6917,13,42,4631,192,44,43,22,210,6,124,204,14,787,22,42,2701,237,6917,4,8752,35,2611,5,1181,41,17,102,8,102,192,43,138,3679,192,44,43,125,17,348,204,6,49,4003,3679,630,22,919,4,3679,4909,22,1,4197,192,6,240,6917,118,10,42,1549,8,204,378,1889,526,37,2734,6,124,1557,597,378,2057,2,8224,149,1,1244,1123,6,2114,244,1,526,9,108,2,547,338,3,1,182,7,6239,4,5337,172,3,1,4585,6917,4591,40,59,546,101,48,1487,17,52,256,101,6,1,72,0
0,0,0,6803,7,107,121,3730,2103,162,415,6803,18,92,5,7171,2,1,107,147,8,42,253,121,803,11,9,1,436,8532,7171,2,1,147,22,1,6504,15,18,5453,40,59,149,1651,449,6803,13,15,14,2546,2,305,554,2,5,147,10,37,1,2304,2,1481,264,3846,4,266,168,218,8,213,253,350,1780,5353,13,11,14,5,1861,3730,10,36,220,107,940,4,135,1,121,163,1,8321,3,449,6803,4,70,107,1172,107,23,16,2660,341,2,117,213,568,4,2,642,1,463,353,49,99,30,5353,13,415,6803,118,26,472,2546,2,16,302,2,87,34,2674,2,1,253,121,1698,3,1,107,147,109,26,388,10,29,25,1,79,147,10,18,1,2304,2,1481,171,264,3846,4,266,168,218,8,213,1,3215,41,200,436,7171,1714,5,1662,1328,3730,2,1,147,6,244,415,6803,14,920,5,272,1359,6,1656,5,41,97,15,14,2649,19,162,8,2103,2
19,578,3,1,3316,2,3463,6,1,567,5795,728,551,1213,3084,13,1320,4883,6219,19,2283,2,6219,22,3316,103,16,1371,1551,19,11,58,6671,1625,1,1528,3,726,24,31,5998,12,1,6930,728,1072,7654,13,11,103,16,3220,391,1212,294,2,359,6219,20,39,191,6,238,4,1409,2215,1243,3178,1365,350,2569,846,1,74,3,8495,42,2906,61,34,2623,481,2335,11,9,1798,10,33,271,459,17,1,1732,268,250,3,1320,2430,6219,2,9987,1,4713,3,1,213,7,2430,250,15,13,1,247,13,1320,6219,103,16,2844,3183,19,336,3,816,5270,27,1,2430,3403,6,1732,268,64,11,14,1551,6,708,1,247,13,1,74,103,1586,3258,8,816,24,1841,98,1235,13,11,36,16,32,1804,250,10,36,16,341,2,6073,11,13,4629,2,3508,93,19,5533,476,207,2914,44,294,2,16,316,19,4,9164,8067,1,4713,3,1,250,617,13,663,29,259,8,4758,2,793,381,2
1291,6,604,81,9710,66,3,604,1434,4479,7439,7,225,2,604,74,2917,109,3368,7473,14,5,1,1404,1247,1,689,35,14,5188,6,258,4,166,604,1958,4,9638,14,28,4907,2,1291,8,604,2783,24,323,3,5782,2086,1,6608,2455,4420,6655,1704,13,1,814,6,734,35,534,375,3,604,4894,44,92,91,201,3052,2,1,290,281,70,375,6,1,85,81,1340,473,392,1075,2450,6608,7,4363,4,1786,7,2578,4,258,7,105,50,81,21,1,124,598,282,1,5781,85,1958,25,5381,8,2450,8,4363,4,1786,7261,7526,8,1,5781,5424,8,2578,4,8,5010,23,1291,80,4,8,85,651,352,2677,7,4999,517,493,1,2877,3688,340,6,8098,4395,4213,3,1,4396,1303,4,1314,25,57,6349,6,1,85,314,81,778,1,313,998,23,16,361,12,1469,492,34,41,23,1137,307,3,26,2791,2560,231,4,442,6,1020,23,16,308,32,6232,5782,1065,17,604,682,417,4967,1
21,5107,2231,7071,290,12,822,3,8334,4,24,31,1638,13,1,217,58,28,16,1265,12,67,30,3668,627,14,1693,411,32,1778,2469,6,5,193,1987,12,556,1719,4020,1072,9499,1326,45,3,921,193,1232,6,290,846,3,1,288,3448,7071,3607,5,739,3,3214,1599,12,30,3668,237,5,8333,165,9500,4,4995,64,15,9100,5,1626,7372,518,15,14,90,15,36,28,16,302,2,1032,31,123,310,89,5934,22,5,335,133,15,426,45,31,3311,4,247,1300,2,5,446,392,1581,30,9499,14,45,308,5,8333,4,90,2,31,3311,30,3668,297,1,5624,21,1,167,3,837,124,24,1145,2606,17,31,407,9501,1,682,46,18,39,2248,2,3086,14,1693,53,392,44,259,2,1,8335,1987,6,1012,2,448,10,5,356,37,39,8821,5,356,6,31,14,306,458,2,956,3854,2147,193,17,2300,97,89,5,1638,3778,30,3668,4,30,9499,13,895,290,1,1138,710,1,822,1
312,5070,80,1753,6,3958,4134,655,23,1408,12,701,1135,6,78,23,16,5,3631,43,96,459,3,1,2460,68,312,8430,6,38,65,485,1,742,586,655,6,1,1884,68,312,1833,187,10,9,1,1900,7,79,571,6,641,2224,80,1,6035,46,20,143,57,1,70,798,152,1,1857,513,96,23,16,1,148,67,1,1900,20,365,315,1,616,3400,99,6,837,4494,17,1,742,444,106,377,6,611,1520,4930,13,315,20,92,248,1452,61,1,65,354,83,4,23,800,632,988,33,57,5808,1,2111,3,1,1311,1943,6,1,65,68,312,4,315,158,5,737,2142,3,639,19,8,655,29,87,5,2671,487,2,2062,4,23,16,5,1397,4902,109,29,25,50,3,1,248,1872,1169,6,1,68,1,96,23,16,4399,4461,8,1,91,376,68,312,8430,6,1,2460,268,693,129,38,68,312,292,17,152,80,258,12,256,695,3206,12,482,656,4,2464,12,336,656,3
164,11,2627,109,29,164,2,587,2094,4,8068,177,27,240,64,15,14,6,4913,384,34,145,1378,314,162,90,1,173,162,10,31,509,2,2591,1,3177,14,5,3690,488,10,925,1,335,4,1746,3,28,79,611,24,45,1068,1136,1297,3841,3038,10,60,1,3177,9,2627,11,58,395,2,5,1144,8,2094,10,315,58,144,2,4815,42,8078,1007,6912,2695,122,6912,9,161,3,1171,4996,4,681,2,9377,11,17,1,22,965,60,2358,1,49,9,7952,22,293,2,220,6912,2174,776,3841,18,45,4545,1264,10,1,669,466,1599,6,315,20,28,2257,523,2,5905,32,167,2,1,3177,11,9,32,488,1265,22,669,466,882,221,7115,5534,27,1,72,7,669,466,1026,13,34,9,5,543,453,4258,27,240,10,29,25,2396,2,3064,52,6501,2295,24,30,1263,934,1,291,7,1094,3,4575,12,2094,1105,1247,885,4853,12,669,466,136,37,2,16,1006,60,1,3177,14,2627,2
